album,albumLabel,producer,producerLabel,genre,genreLabel
http://www.wikidata.org/entity/Q739569,La Valse des monstres,http://www.wikidata.org/entity/Q157256,Yann Tiersen,http://www.wikidata.org/entity/Q4631020,21st-century classical music
http://www.wikidata.org/entity/Q2348863,Les Retrouvailles,http://www.wikidata.org/entity/Q157256,Yann Tiersen,http://www.wikidata.org/entity/Q4631020,21st-century classical music
http://www.wikidata.org/entity/Q2563202,Rue des cascades,http://www.wikidata.org/entity/Q157256,Yann Tiersen,http://www.wikidata.org/entity/Q4631020,21st-century classical music
http://www.wikidata.org/entity/Q1627745,L'Absente,http://www.wikidata.org/entity/Q157256,Yann Tiersen,http://www.wikidata.org/entity/Q4631020,21st-century classical music
http://www.wikidata.org/entity/Q1952362,Le Phare,http://www.wikidata.org/entity/Q157256,Yann Tiersen,http://www.wikidata.org/entity/Q4631020,21st-century classical music
http://www.wikidata.org/entity/Q3486462,Skyline,http://www.wikidata.org/entity/Q157256,Yann Tiersen,http://www.wikidata.org/entity/Q286080,acoustic music
http://www.wikidata.org/entity/Q16643501,∞,http://www.wikidata.org/entity/Q157256,Yann Tiersen,http://www.wikidata.org/entity/Q286080,acoustic music
http://www.wikidata.org/entity/Q2391224,Du ciment sous les plaines,http://www.wikidata.org/entity/Q728707,Noir Désir,http://www.wikidata.org/entity/Q11366,alternative rock
http://www.wikidata.org/entity/Q2019334,The Smiths Is Dead,http://www.wikidata.org/entity/Q2758142,Les Inrockuptibles,http://www.wikidata.org/entity/Q11366,alternative rock
http://www.wikidata.org/entity/Q2288569,Dies Irae,http://www.wikidata.org/entity/Q728707,Noir Désir,http://www.wikidata.org/entity/Q11366,alternative rock
http://www.wikidata.org/entity/Q3532657,Tostaky,http://www.wikidata.org/entity/Q728707,Noir Désir,http://www.wikidata.org/entity/Q11366,alternative rock
http://www.wikidata.org/entity/Q12071943,Noir Désir,http://www.wikidata.org/entity/Q728707,Noir Désir,http://www.wikidata.org/entity/Q11366,alternative rock
http://www.wikidata.org/entity/Q16651460,L'Équilibre,http://www.wikidata.org/entity/Q3294208,Mark Plati,http://www.wikidata.org/entity/Q11366,alternative rock
http://www.wikidata.org/entity/Q3342717,Q3342717,http://www.wikidata.org/entity/Q728707,Noir Désir,http://www.wikidata.org/entity/Q11366,alternative rock
http://www.wikidata.org/entity/Q3352216,Q3352216,http://www.wikidata.org/entity/Q728707,Noir Désir,http://www.wikidata.org/entity/Q11366,alternative rock
http://www.wikidata.org/entity/Q15661,Oxygène,http://www.wikidata.org/entity/Q104326,Jean-Michel Jarre,http://www.wikidata.org/entity/Q193207,ambient music
http://www.wikidata.org/entity/Q523793,Ralf und Florian,http://www.wikidata.org/entity/Q61428,Conny Plank,http://www.wikidata.org/entity/Q193207,ambient music
http://www.wikidata.org/entity/Q525379,Deep Forest,http://www.wikidata.org/entity/Q2388966,Dan Lacksman,http://www.wikidata.org/entity/Q193207,ambient music
